filename,height_px,width_px,filesize_kb,dominant_color_hex,average_contrast,average_brightness,source,folder
100036.jpg,424,424,11,#0b0a07,20.5341,10.3875,Galaxy Zoo 2,elliptical
100068.jpg,424,424,11,#1c1711,30.7266,24.112,Galaxy Zoo 2,elliptical
100069.jpg,424,424,15,#13100c,18.1454,17.0285,Galaxy Zoo 2,elliptical
100115.jpg,424,424,10,#090706,18.159,8.1947,Galaxy Zoo 2,elliptical
100184.jpg,424,424,10,#090805,16.916,8.3336,Galaxy Zoo 2,elliptical
100245.jpg,424,424,11,#0a0905,17.1669,9.0694,Galaxy Zoo 2,elliptical
100247.jpg,424,424,9,#080907,20.8679,8.7113,Galaxy Zoo 2,elliptical
100264.jpg,424,424,18,#0a0a06,16.8183,10.3148,Galaxy Zoo 2,elliptical
100278.jpg,424,424,17,#19110d,18.2524,19.2096,Galaxy Zoo 2,elliptical
100337.jpg,424,424,13,#080704,14.0137,7.4964,Galaxy Zoo 2,elliptical
100348.jpg,424,424,8,#0e0d0a,26.2613,13.2747,Galaxy Zoo 2,elliptical
100407.jpg,424,424,13,#0a0906,19.4516,9.5146,Galaxy Zoo 2,elliptical
100437.jpg,424,424,14,#0a0905,17.3317,9.3959,Galaxy Zoo 2,elliptical
100472.jpg,424,424,12,#080704,14.259,7.4837,Galaxy Zoo 2,elliptical
100488.jpg,424,424,16,#080704,12.3199,7.3863,Galaxy Zoo 2,elliptical
100494.jpg,424,424,8,#0e0c08,27.3676,13.0096,Galaxy Zoo 2,elliptical
100522.jpg,424,424,11,#090704,15.8302,7.7702,Galaxy Zoo 2,elliptical
100568.jpg,424,424,11,#0e0b06,19.9552,11.5742,Galaxy Zoo 2,elliptical
100602.jpg,424,424,13,#0a0905,19.9952,9.4254,Galaxy Zoo 2,elliptical
100606.jpg,424,424,11,#080805,15.7135,8.0899,Galaxy Zoo 2,elliptical
100644.jpg,424,424,13,#0a0b06,19.8904,10.4685,Galaxy Zoo 2,elliptical
100669.jpg,424,424,21,#160c08,23.5126,15.1015,Galaxy Zoo 2,elliptical
100759.jpg,424,424,12,#0b0906,18.947,10.0444,Galaxy Zoo 2,elliptical
100773.jpg,424,424,13,#100d09,21.3097,13.79,Galaxy Zoo 2,elliptical
1008.jpg,424,424,14,#090705,14.5066,8.1346,Galaxy Zoo 2,elliptical
100809.jpg,424,424,13,#0f0c09,20.5738,13.2773,Galaxy Zoo 2,elliptical
